clip,frame,ball_real_x,ball_real_y,is_bounce
game1/Clip1,0,,,0
game1/Clip1,1,,,0
game1/Clip1,2,3.4973477486312285,5.764637866266788,0
game1/Clip1,3,3.4409585979192485,6.811576567358143,0
game1/Clip1,4,3.4192288598789884,7.7039604615563215,0
game1/Clip1,5,3.399139677323329,8.528971003655935,0
game1/Clip1,6,3.34320851192356,9.39966765170132,0
game1/Clip1,7,3.319879244070786,10.31798436440823,0
game1/Clip1,8,3.2622200511148916,11.147950725565238,0
game1/Clip1,9,3.205735597809367,11.87154380937043,0
game1/Clip1,10,3.185012037800577,12.624774953315288,0
game1/Clip1,11,3.1677875382945153,13.250827111406133,0
game1/Clip1,12,3.11512896217356,13.736111048774326,0
game1/Clip1,13,3.1009339954778463,14.233008148210613,0
game1/Clip1,14,3.0510264645933165,14.573115950608551,0
game1/Clip1,15,3.0459419296031913,14.744765499115346,0
game1/Clip1,16,3.0002094832764206,14.919421438655558,0
game1/Clip1,17,2.959602380773047,14.920875125358492,0
game1/Clip1,18,2.9650993035834166,14.747637552531533,0
game1/Clip1,19,2.9759459383424707,14.405801812096255,0
game1/Clip1,20,2.9812969585831492,14.237162413177563,0
game1/Clip1,21,2.952320619629624,13.905692392484736,0
game1/Clip1,22,2.9683338481674344,13.417262324817873,0
game1/Clip1,23,2.9890461935887087,12.785501387180325,0
game1/Clip1,24,2.971351341680808,12.176160674893417,0
game1/Clip1,25,2.9962223466344615,11.44119557045885,1
game1/Clip1,26,3.4988992267502868,12.159553760522876,1
game1/Clip1,27,4.2928322679274205,13.533854708827448,0
game1/Clip1,28,4.893257196282532,14.338716925135168,0
game1/Clip1,29,5.351853985017739,15.009189924809503,0
game1/Clip1,30,6.215791401330438,16.054347162283975,0
game1/Clip1,31,6.517059152599621,16.228147561714824,0
game1/Clip1,32,6.766926994705401,16.218635210226083,0
game1/Clip1,33,6.988095199493742,16.397000440800443,2
game1/Clip1,34,7.286181947516154,18.148416986416915,0
game1/Clip1,35,7.646999696409431,20.51069511945341,0
game1/Clip1,36,7.940505764720147,22.403508479840177,0
game1/Clip1,37,8.283414593058247,24.737778713183115,0
game1/Clip1,38,8.610119524530289,26.72183102138866,0
game1/Clip1,39,8.852666960556752,28.24209358604625,0
game1/Clip1,40,9.054649597270743,29.860340819103904,0
game1/Clip1,41,9.204696567523131,30.879321743984157,1
game1/Clip1,42,9.065681056389671,31.239480533289914,0
game1/Clip1,43,8.837157100208115,31.253667221709282,0
game1/Clip1,44,8.665655175293681,31.264314002085126,0
game1/Clip1,45,7.829484290059003,24.76123916275132,0
game1/Clip1,46,,,0
game1/Clip1,47,7.590759199698753,30.630686840210462,0
game1/Clip1,48,7.477449106334167,30.63759527221962,0
game1/Clip1,49,7.2121391333418225,29.97068302885562,0
game1/Clip1,50,6.914847045418134,29.653210367665224,0
game1/Clip1,51,6.6059266151529945,29.01313005706513,0
game1/Clip1,52,6.304273917364272,28.388108421790815,0
game1/Clip1,53,6.052183737323137,27.46721333102578,0
game1/Clip1,54,5.651002144532684,26.58681028597088,0
game1/Clip1,55,5.366816897616244,25.730487233426143,0
game1/Clip1,56,5.08694627125656,24.62856519118457,0
game1/Clip1,57,4.819250679406295,23.574579365277952,0
game1/Clip1,58,4.464379057773186,22.321589616860507,0
game1/Clip1,59,4.174786004023178,21.36674064970699,0
game1/Clip1,60,3.898376321133196,20.224218505518024,0
game1/Clip1,61,3.63831945608268,18.924951920348416,0
game1/Clip1,62,3.3536866925338025,17.50290202117848,0
game1/Clip1,63,3.124387808261572,16.357304967650556,0
game1/Clip1,64,2.8783726009936865,14.923783056322987,0
game1/Clip1,65,2.64262340699628,13.752149026583494,0
game1/Clip1,66,2.4281922003255207,12.495895622661923,0
game1/Clip1,67,2.2069815009671325,11.03838788727882,0
game1/Clip1,68,2.0296429664007736,9.823220172360585,0
game1/Clip1,69,1.873040702753419,8.568277649530723,0
game1/Clip1,70,1.6949620248967794,7.4046803913865435,0
game1/Clip1,71,1.5385623711384617,6.217325915922275,0
game1/Clip1,72,1.3821716152794832,4.925610462255971,0
game1/Clip1,73,1.2779387511072002,3.9163399742478555,0
game1/Clip1,74,0.3195958974947391,3.4969533799558707,0
game1/Clip1,75,0.2908479520589752,3.497463504644621,0
game1/Clip1,76,0.339840113019044,3.156815989112813,0
game1/Clip1,77,4.604316332207229,27.548029634883264,0
game1/Clip1,78,0.30321280895339014,3.41148938759308,0
game1/Clip1,79,0.1885630661233959,3.4135084069717716,0
game1/Clip1,80,0.3272610554373601,2.1091975798700022,0
game1/Clip1,81,-0.15782597673304577,3.081697440579107,0
game1/Clip1,82,-0.27158101507029686,2.9177991290362852,1
game1/Clip1,83,,,1
game1/Clip1,84,0.45481727895275,7.099600920522237,0
game1/Clip1,85,0.2875729630334962,6.884271223174344,0
game1/Clip1,86,0.2831950444684368,6.668232701111902,0
game1/Clip1,87,1.6162542237324173,12.675283258405292,0
game1/Clip1,88,2.022575868887011,14.270452952122508,0
game1/Clip1,89,2.473960047749702,15.828133311307413,0
game1/Clip1,90,2.8833335667913276,17.324515247729632,0
game1/Clip1,91,3.2888781645693634,18.519790859049284,0
game1/Clip1,92,3.6729560451704026,19.788392090146054,0
game1/Clip1,93,4.081756128564717,20.670875206768034,0
game1/Clip1,94,4.458381225742391,21.353686149391226,0
game1/Clip1,95,4.798706509389603,22.059879817361423,0
game1/Clip1,96,5.1445298378543445,22.537580642581577,0
game1/Clip1,97,5.441743907584033,22.77425673416654,0
game1/Clip1,98,5.741932186208928,23.013301233604853,0
game1/Clip1,99,6.034948565457142,22.999016932349534,0
game1/Clip1,100,6.278921597592169,22.987123452885577,0
game1/Clip1,101,6.509985175672362,22.722609063209696,0
game1/Clip1,102,6.738377419267106,22.46115273407677,0
