clip,frame,ball_real_x,ball_real_y,is_real_bounce
game8/Clip1,17,8.07153799407113,5.818213322074383,1
game8/Clip1,27,9.388277901373774,10.296765984370841,1
game8/Clip1,47,9.460355197760602,4.701095226871201,1
game8/Clip1,65,6.601813830794682,4.014182935013936,1
game8/Clip1,90,2.184155816725063,7.184920113595746,1
game8/Clip1,114,2.076227505392098,1.4120341239040144,1
game8/Clip2,16,-1.1092108702343912,2.563704547393283,1
game8/Clip2,24,0.1250137880853807,-0.4915884518869648,1
game8/Clip2,38,3.4044312871888183,18.758812367896198,1
game8/Clip2,71,1.3323181655240666,3.6923597031888047,1
game8/Clip2,93,0.055917870330578164,-4.747414716560347,1
game8/Clip3,19,8.197790561508695,2.6979733568574806,1
game8/Clip3,33,9.650512543470134,1.376256980996996,1
game8/Clip3,59,2.020175286750118,20.58645323878501,1
game8/Clip3,72,6.82890591827845,2.2463458972422203,1
game8/Clip3,87,2.9100415604720027,4.3832474951705285,1
game8/Clip3,101,3.690628391772257,1.5642144519200811,1
game8/Clip3,146,6.155556371395695,26.785321550221123,1
game8/Clip3,166,2.5546831425107825,2.693880645648982,1
game8/Clip3,176,1.4909143680325065,2.240242819162477,1
game8/Clip3,197,2.8923789126033745,2.032208241070813,1
game8/Clip3,208,6.85718732424085,22.688076325715727,1
game8/Clip3,218,4.15425364416075,-1.9375119718568086,1
game8/Clip3,234,3.474157557193134,5.009767915047306,1
game8/Clip3,245,2.311750458812506,1.1432238693901644,1
game8/Clip3,304,7.884299997953204,0.11065523852275369,1
game8/Clip3,362,8.0377913816888,1.7644270521712988,1
game8/Clip3,382,9.026253705975744,-4.907258746057566,1
game8/Clip3,391,3.788895726354622,25.550802216976813,1
game8/Clip3,410,11.233907007158217,-4.823551610471889,1
game8/Clip4,22,4.629173008706753,8.76200511270596,1
game8/Clip4,32,4.196861863474636,2.0108384894283216,1
game8/Clip4,74,1.5801287919554792,-0.5957251934345498,1
game8/Clip4,112,6.26447251417243,21.16478560441197,1
game8/Clip5,2,3.2042915397703844,6.234066737042964,1
game8/Clip5,23,2.3378238056009115,9.055608470356523,1
game8/Clip5,36,6.995058661564552,15.25129000766496,1
game8/Clip5,58,3.4957383464285434,-1.926177190781274,1
game8/Clip5,78,-3.384334163701128,-3.998806877495901,1
game8/Clip6,6,2.5861788596049404,9.713935478119385,1
game8/Clip6,20,2.681753129539188,3.174970882034155,1
game8/Clip6,31,2.6747538673147737,3.3718439059754446,1
game8/Clip6,65,-3.3924751117863057,-4.062442368969266,1
game8/Clip6,74,-1.4919720769614184,3.6375623360952396,1
game8/Clip6,90,5.048266361278016,23.162426930178253,1
game8/Clip6,99,7.7234245612185,36.97652543571569,1
game8/Clip6,109,5.345356950827318,22.482576997515633,1
game8/Clip6,117,-3.2838176339283423,-0.9822946643616305,1
game8/Clip6,125,-3.7106580665826776,-1.8021361457724212,1
game8/Clip7,7,2.931969323537349,9.574821972305234,1
game8/Clip7,33,5.425326821849267,28.108600667920435,1
game8/Clip7,55,5.604791514583089,1.0886552489918428,1
game8/Clip7,91,0.5223796453085839,25.09841150921554,1
game8/Clip7,114,7.0612385121184555,4.527021896285679,1
game8/Clip7,127,9.521971470335124,1.8316015297340187,1
game8/Clip7,150,2.0049542579316495,21.005543128324963,1
game8/Clip7,181,1.2874601076361507,3.4932964804851263,1
game8/Clip7,193,1.3510932268526665,-0.3522075880857836,1
game8/Clip7,214,1.9941867562832938,-0.03824108952479041,1
game8/Clip7,228,-0.12039643698124397,22.54855842529322,1
game8/Clip7,257,6.113719487918437,2.2580200222315563,1
game8/Clip7,267,7.3204321000549095,3.2970457374043187,1
game8/Clip7,282,6.282410028140968,-1.2223553688254536,1
game8/Clip7,365,0.2826355922923245,-0.9657375413574629,1
game8/Clip7,394,-1.879697295654185,0.02692028389494015,1
game8/Clip7,405,-2.2768015158140744,-1.530692985439141,1
game8/Clip7,421,-2.780931881230419,-3.7516448916304554,1
game8/Clip8,17,3.187799110558895,7.050339043962705,1
game8/Clip8,32,2.3569997258182775,2.6019364015881643,1
game8/Clip8,41,8.693557233157215,22.891581602552638,1
game8/Clip8,59,1.4210816067862473,3.6909361446288886,1
game8/Clip8,124,6.333403502103062,6.1855764987868,1
game8/Clip8,138,8.24066518349309,3.085238914956209,1
game8/Clip8,161,6.495335050445626,20.5306061552648,1
game8/Clip8,173,5.998487859047293,4.543858894399864,1
game8/Clip8,192,2.5442262552172488,4.493542848647886,1
game8/Clip8,203,1.5523743561813448,3.489036732015791,1
game8/Clip8,271,3.6023288705701657,1.9286902626173787,1
game8/Clip8,291,0.23304412799565574,18.799597352395576,1
game8/Clip8,312,-2.0219502584913176,27.657804364982773,1
game8/Clip9,5,2.833146339003718,9.443082454278551,1
game8/Clip9,30,3.974359546535326,-0.4768074910482273,1
game8/Clip9,47,1.5000720714093665,3.3907569779932967,1
game8/Clip9,92,6.474060072454982,22.02665737535413,1
game8/Clip9,142,6.285344612694405,2.2552185524708177,1
game8/Clip9,159,5.649141482781745,16.670668958666756,1
game8/Clip9,210,8.534450189031118,7.207803193559989,1
game8/Clip9,233,10.172726087774445,4.16376838135071,1
